section,title,practice_areas_pipe,priority,official_url
2905.11,Extortion and sexual extortion,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.11
2905.111,Sexual extortion - person or child as victim,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.111
2905.12,Coercion,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.12
2905.21,Extortionate extension of credit - criminal usury definitions,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.21
2905.22,Extortionate extension of credit - criminal usury,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.22
2905.23,Probable cause to believe that extension of credit was extortionate,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.23
2905.24,Evidence showing an implicit threat as means of collection,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.24
2905.31,Definitions for sections 2905.31 to 2905.33,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.31
2905.32,Trafficking in persons,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.32
2905.33,Unlawful conduct with respect to documents,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2905.33
2907.01,Sex offenses general definitions,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.01
2907.02,Rape,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.02
2907.03,Sexual battery,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.03
2907.04,Unlawful sexual conduct with minor,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.04
2907.05,Gross sexual imposition,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.05
2907.06,Sexual imposition,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.06
2907.07,Importuning,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.07
2907.071,Grooming,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.071
2907.08,Voyeurism,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.08
2907.09,Public indecency,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.09
2907.10,Preliminary polygraph test of sex offense victim,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.10
2907.11,Suppression of names of victim and offender and details of the alleged offense,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.11
2907.13,Fraudulent assisted reproduction,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.13
2907.14,Reporting fraudulent assisted reproduction to professional licensing board,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.14
2907.15,Withholding moneys needed for restitution to crime victims from state retirement funds,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.15
2907.17,Notice of indictment of mental health professional sent to regulatory or licensing board or agency,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.17
2907.171,Prosecutor's failure to give notice,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.171
2907.18,Notice of conviction of mental health professional sent to regulatory or licensing board or agency,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.18
2907.19,Commercial sexual exploitation of a minor,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.19
2907.21,Compelling prostitution,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.21
2907.22,Promoting prostitution,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.22
2907.23,Enticement or solicitation to patronize a prostitute; procurement of a prostitute for another,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.23
2907.231,Engaging in prostitution,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.231
2907.24,Soliciting; solicitation after a positive HIV test,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.24
2907.241,Loitering to engage in solicitation - solicitation after positive HIV test,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.241
2907.25,Prostitution - after positive HIV test,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.25
2907.26,Rules of evidence in brothel and prostitution cases,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.26
2907.27,Testing and treatment for venereal diseases and HIV,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.27
2907.28,Payment for medical examination and test of any victim or accused,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.28
2907.29,Hospital emergency services for victims of sexual offenses,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.29
2907.30,Interview of victim by crisis intervention trained officer,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.30
2907.31,Disseminating matter harmful to juveniles,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.31
2907.311,Displaying matter harmful to juveniles,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.311
2907.32,Pandering obscenity,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.32
2907.321,Pandering obscenity involving a minor or impaired person,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.321
2907.322,Pandering sexually oriented matter involving a minor or impaired person,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.322
2907.323,Illegal use of minor or impaired person in nudity-oriented material or performance,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.323
2907.33,Deception to obtain matter harmful to juveniles,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.33
2907.34,Compelling acceptance of objectionable materials,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.34
2907.35,Presumptions in obscenity cases,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.35
2907.36,Declaratory judgment action,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.36
2907.37,Injunction - nuisance,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.37
2907.38,Permitting unlawful operation of viewing booths depicting sexual conduct,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.38
2907.39,Permitting juvenile on premises of adult entertainment establishment - use of false information to gain entry,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.39
2907.40,Illegally operating sexually oriented business,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.40
2907.41,Person charged with subsequent sexual offense - setting of bail,Criminal Defense | Sex Crimes,P1,https://codes.ohio.gov/ohio-revised-code/section-2907.41
2909.01,Arson and related offenses definitions,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.01
2909.02,Aggravated arson,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.02
2909.03,Arson,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.03
2909.04,Disrupting public services,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.04
2909.05,Vandalism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.05
2909.06,Criminal damaging or endangering,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.06
2909.07,Criminal mischief,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.07
2909.08,Endangering aircraft or airport operations,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.08
2909.081,Interfering with operation of aircraft with laser,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.081
2909.09,Vehicular vandalism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.09
2909.10,Railroad vandalism - criminal trespass - interference with operation of train,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.10
2909.101,Railroad grade crossing device vandalism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.101
2909.11,Property value or amount of physical harm findings,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.11
2909.13,Definitions for RC sections 2909.13 to 2909.15,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.13
2909.14,Arson offender registration; notice,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.14
2909.15,Arson offender registration; time frames; form,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.15
2909.21,Terrorism definitions,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.21
2909.22,Soliciting or providing support for act of terrorism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.22
2909.23,Making terroristic threat,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.23
2909.24,Terrorism,Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.24
2909.25,"Expenses of investigation, prosecution, response costs of terrorism",Criminal Defense,P1,https://codes.ohio.gov/ohio-revised-code/section-2909.25
