section,orc_dash,title,ui_label,url_slug,official_url,priority,practice_areas_pipe,keywords_pipe
2903.02,2903-02,Murder,ORC 2903.02: Murder,murder-orc-2903-02,https://codes.ohio.gov/ohio-revised-code/section-2903.02,P1,Criminal Defense,Murder ohio | orc 2903.02
2903.03,2903-03,Voluntary manslaughter,ORC 2903.03: Voluntary manslaughter,voluntary-manslaughter-orc-2903-03,https://codes.ohio.gov/ohio-revised-code/section-2903.03,P1,Criminal Defense,Voluntary manslaughter ohio | orc 2903.03
2903.04,2903-04,Involuntary manslaughter,ORC 2903.04: Involuntary manslaughter,involuntary-manslaughter-orc-2903-04,https://codes.ohio.gov/ohio-revised-code/section-2903.04,P1,Criminal Defense,Involuntary manslaughter ohio | orc 2903.04
2903.041,2903-041,Reckless homicide,ORC 2903.041: Reckless homicide,reckless-homicide-orc-2903-041,https://codes.ohio.gov/ohio-revised-code/section-2903.041,P1,Criminal Defense,Reckless homicide ohio | orc 2903.041
2903.05,2903-05,Negligent homicide,ORC 2903.05: Negligent homicide,negligent-homicide-orc-2903-05,https://codes.ohio.gov/ohio-revised-code/section-2903.05,P1,Criminal Defense,Negligent homicide ohio | orc 2903.05
2903.06,2903-06,Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter,ORC 2903.06: Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter,aggravated-vehicular-homicide-vehicular-homicide-vehicular-manslaughter-orc-2903-06,https://codes.ohio.gov/ohio-revised-code/section-2903.06,P1,Criminal Defense,Aggravated vehicular homicide - vehicular homicide - vehicular manslaughter ohio | orc 2903.06
2903.08,2903-08,Aggravated vehicular assault; vehicular assault,ORC 2903.08: Aggravated vehicular assault; vehicular assault,aggravated-vehicular-assault-vehicular-assault-orc-2903-08,https://codes.ohio.gov/ohio-revised-code/section-2903.08,P1,Criminal Defense,Aggravated vehicular assault; vehicular assault ohio | orc 2903.08
2903.081,2903-081,Warning signs in construction zones,ORC 2903.081: Warning signs in construction zones,warning-signs-in-construction-zones-orc-2903-081,https://codes.ohio.gov/ohio-revised-code/section-2903.081,P1,Criminal Defense,Warning signs in construction zones ohio | orc 2903.081
2903.09,2903-09,Unlawful termination of another's pregnancy,ORC 2903.09: Unlawful termination of another's pregnancy,unlawful-termination-of-another-s-pregnancy-orc-2903-09,https://codes.ohio.gov/ohio-revised-code/section-2903.09,P1,Criminal Defense,Unlawful termination of another's pregnancy ohio | orc 2903.09
2903.10,2903-10,"Functionally impaired person, caretaker defined","ORC 2903.10: Functionally impaired person, caretaker defined",functionally-impaired-person-caretaker-defined-orc-2903-10,https://codes.ohio.gov/ohio-revised-code/section-2903.10,P1,Criminal Defense,"Functionally impaired person, caretaker defined ohio | orc 2903.10"
2903.11,2903-11,Felonious assault,ORC 2903.11: Felonious assault,felonious-assault-orc-2903-11,https://codes.ohio.gov/ohio-revised-code/section-2903.11,P1,Criminal Defense,Felonious assault ohio | orc 2903.11
2903.12,2903-12,Aggravated assault,ORC 2903.12: Aggravated assault,aggravated-assault-orc-2903-12,https://codes.ohio.gov/ohio-revised-code/section-2903.12,P1,Criminal Defense,Aggravated assault ohio | orc 2903.12
2903.13,2903-13,Assault,ORC 2903.13: Assault,assault-orc-2903-13,https://codes.ohio.gov/ohio-revised-code/section-2903.13,P1,Criminal Defense,Assault ohio | orc 2903.13
2903.14,2903-14,Negligent assault,ORC 2903.14: Negligent assault,negligent-assault-orc-2903-14,https://codes.ohio.gov/ohio-revised-code/section-2903.14,P1,Criminal Defense,Negligent assault ohio | orc 2903.14
2903.15,2903-15,Permitting child abuse,ORC 2903.15: Permitting child abuse,permitting-child-abuse-orc-2903-15,https://codes.ohio.gov/ohio-revised-code/section-2903.15,P1,Criminal Defense,Permitting child abuse ohio | orc 2903.15
2903.16,2903-16,Failing to provide for a functionally impaired person,ORC 2903.16: Failing to provide for a functionally impaired person,failing-to-provide-for-a-functionally-impaired-person-orc-2903-16,https://codes.ohio.gov/ohio-revised-code/section-2903.16,P1,Criminal Defense,Failing to provide for a functionally impaired person ohio | orc 2903.16 | dui
2903.18,2903-18,Strangulation,ORC 2903.18: Strangulation,strangulation-orc-2903-18,https://codes.ohio.gov/ohio-revised-code/section-2903.18,P1,Criminal Defense,Strangulation ohio | orc 2903.18
